term_id,term_name,genes_associated_in_db
C0948216,Ovarian adenocarcinoma,1
C0948368,Kaufman-McKusick syndrome,1
C0948387,Secondary Adrenal Insufficiency,1
C0949331,Gonadal Agenesis,1
C0950121,Denys-Drash Syndrome,1
C0950122,Frasier Syndrome,1
C1096063,Drug Resistant Epilepsy,1
C1096154,Kinsbourne Syndrome,1
C1096155,Macrophage Activation Syndrome,1
C1096309,Myolipoma,1
C1112256,Sensorimotor neuropathy,1
C1136033,Cutaneous Mastocytosis,1
C1136041,Familial Acoustic Neuroma,1
C1136042,"Neuroma, Acoustic, Bilateral",1
C1136043,"Schwannoma, Acoustic, Bilateral",1
C1136135,Water Stress,1
C1137478,"Retinoschisis, Degenerative",1
C1141890,Congenital long QT syndrome,1
C1167732,Pleuropericarditis,1
C1175175,Severe Acute Respiratory Syndrome,1
C1257915,Intestinal Polyposis,1
C1260965,Lipoblastoma,1
C1263023,Macroorchidism,1
C1264039,"von Willebrand Disease, Type 1",1
C1264040,"von Willebrand Disease, Type 2",1
C1264041,"von Willebrand Disease, Type 3",1
C1266101,Thymic epithelial tumor,1
C1266127,"Histiocytoma, Angiomatoid Fibrous",1
C1266144,Pleuropulmonary blastoma,1
C1266158,Nongerminomatous Germ Cell Tumor,1
C1266177,Dysembryoplastic neuroepithelial tumor,1
C1266181,Dysplastic gangliocytoma of cerebellum (Lhermitte-Duclos),1
C1266184,Atypical Teratoid Rhabdoid Tumor,1
C1274214,Autosomal dominant ichthyosis,1
C1274789,Ligneous conjunctivitis,1
C1275074,Odonto-onycho-dermal dysplasia,1
C1275100,Keratoderma with deafness,1
C1275114,Epidermolysis Bullosa Pruriginosa,1
C1275122,Familial multiple trichoepitheliomata,1
C1275126,TNF receptor-associated periodic fever syndrome (TRAPS),1
C1275592,Funisitis (disorder),1
C1279412,periodic paralysis (finding),1
C1280768,Axenfeld syndrome,1
C1280798,"Von Willebrand disease, platelet type",1
C1282359,Ocular Cicatricial Pemphigoid,1
C1282908,De Vaal's syndrome,1
C1282968,"von Willebrand Disease, Type 2A",1
C1282971,"von Willebrand Disease, Type 2B",1
C1282974,von Willebrand disease type 2M,1
C1282975,"von Willebrand Disease, Type 2N",1
C1283400,Butyrylcholinesterase deficiency,1
C1283620,"Sucrase-isomaltase deficiency, congenital",1
C1285261,Fetal Nutrition Disorders,1
C1290537,Amelogenesis imperfecta pigmented hypomaturation type,1
C1291230,3-Hydroxyacyl-CoA Dehydrogenase Deficiency,1
C1291299,Deficiency of iodide peroxidase (disorder),1
C1291329,Transaldolase Deficiency,1
C1291373,Deficiency of sedoheptulokinase,1
C1291386,D-glycericacidemia,1
C1291422,Deficiency of 3-oxoacid CoA-transferase,1
C1291463,Deficiency of phosphoserine phosphatase,1
C1291490,Hyaluronidase Deficiency,1
C1291512,Beta-Ureidopropionase Deficiency,1
C1291564,Deficiency of aromatic-L-amino-acid decarboxylase,1
C1291607,Deficiency of maleylacetoacetate isomerase,1
C1291609,Ribose 5-Phosphate Isomerase Deficiency,1
C1291620,Deficiency of bisphosphoglycerate mutase,1
C1292773,Acute myeloid leukemia with multilineage dysplasia,1
C1292775,"Acute myeloid leukemia, 11q23 abnormalities",1
C1292779,Myelodysplastic Syndrome with Isolated del(5q),1
C1297882,Partial Trisomy,1
C1299884,Eosinophilic myositis (disorder),1
C1300202,Diaphyseal medullary stenosis with bone malignancy,1
C1300257,"Thanatophoric dysplasia, type 2",1
C1300260,"Spondyloepimetaphyseal dysplasia, sponastrime type",1
C1300267,Brachydactyly syndrome type B,1
C1300285,SAUL-WILSON SYNDROME,1
C1305147,Congenital supravalvular aortic stenosis,1
C1305968,Eccrine dermal cylindroma,1
C1306065,DEVELOPMENTAL DYSPLASIA OF THE HIP 1,1
C1306229,Dyschromatosis universalis,1
C1313961,Trichorrhexis nodosa syndrome,1
C1321907,Congenital absence of parathyroid gland,1
C1327915,Congenital amegakaryocytic thrombocytopenia,1
C1327916,REVESZ SYNDROME (disorder),1
C1327918,Oculootoradial syndrome,1
C1327919,Myelocerebellar Disorder,1
C1328252,Mucocutaneous leishmaniasis,1
C1328349,Neuropathy ataxia and retinis pigmentosa,1
C1328355,Laryngoonychocutaneous syndrome,1
C1332079,"Anaplastic Large Cell Lymphoma, ALK-Positive",1
C1332140,Acrofacial Dysostosis,1
C1332243,Adenocarcinoma of ampulla of Vater,1
C1332655,Complement component 3 deficiency,1
C1333015,Childhood Kidney Wilms Tumor,1
C1333046,"Myeloproliferative Neoplasm, Unclassifiable",1
C1333294,ALK positive large B-cell lymphoma,1
C1333432,EBV-Related Malignant Neoplasm,1
C1333813,Central Nervous System Germinoma,1
C1334410,Localized Primitive Neuroectodermal Tumor,1
C1334615,Malignant Phyllodes Tumor of Prostate,1
C1334807,Mucinous carcinoma of breast,1
C1334970,Medulloblastoma with extensive nodularity,1
C1336005,Small Intestinal Neuroendocrine Neoplasm,1
C1336076,Sporadic Breast Carcinoma,1
C1336078,"Papillary renal cell carcinoma, sporadic",1
C1336839,Type 1 Papillary Renal Cell Carcinoma,1
C1367420,Kaposiform Hemangioendothelioma,1
C1389273,Lesions in the basal ganglia,1
C1392104,Coralliform cataract,1
C1394891,Intrinsic Factor Deficiency,1
C1395264,Deep seated dermatophytosis,1
C1395852,Polydactyly preaxial type 1,1
C1397307,Cardiac fibrosis,1
C1414017,"DEAFNESS, AUTOSOMAL RECESSIVE 25",1
C1414216,"Dystonia 6, torsion (disorder)",1
C1415817,"HETEROTAXY, VISCERAL, 2, AUTOSOMAL",1
C1419610,RP23 gene,1
C1419614,RETINITIS PIGMENTOSA 28,1
C1423873,CONE-ROD DYSTROPHY 9,1
C1442958,Actinic porokeratosis,1
C1449720,Adolescent Gynecomastia,1
C1449721,Infant Gynecomastia,1
C1450010,"Plagiocephaly, Nonsynostotic",1
C1455728,Acute fatty liver of pregnancy,1
C1456687,Polio and Post-Polio Syndrome,1
C1510432,Radiation Sickness,1
C1510479,Neuralgic Amyotrophy,1
C1510489,"Cerebral Amyloid Angiopathy, Hereditary",1
C1512709,Chronic Lymphoproliferative Disorder of NK-Cells,1
C1514428,Primary peritoneal carcinoma,1
C1518693,Clear cell adenocarcinoma of ovary,1
C1522378,"Leukemia, Large Granular Lymphocytic",1
C1522512,Transient Situational Disturbance,1
C1527258,Infantile paralysis,1
C1527317,Alpha-Aminoadipic Semialdehyde Deficiency Disease,1
C1527337,"Familial Amyloid Polyneuropathy, Appalachian Type",1
C1527338,"Hereditary Cerebral Amyloid Angiopathy, Icelandic Type",1
C1527349,Ductal Breast Carcinoma,1
C1527407,Eosinophilic Pneumonia,1
C1533587,Hydroxymethylglutaric aciduria,1
C1535942,Polyglandular Type III Autoimmune Syndrome,1
C1536220,ST segment elevation myocardial infarction,1
C1536500,Deficiency of acetyl-CoA acetyltransferase,1
C1562061,Microspherophakia,1
C1562113,Fleck corneal dystrophy,1
C1562894,Thiel-Behnke corneal dystrophy,1
C1563718,Genital Infantilism,1
C1567426,Unilateral Multicystic Dysplastic Kidney,1
C1567427,Bilateral Multicystic Dysplastic Kidneys,1
C1569637,"Adenocarcinoma, Endometrioid",1
C1578917,Islet cell adenomatosis,1
C1608955,Mycobacterium abscessus Infection,1
C1611706,Myosclerosis,1
C1622345,Meretoja syndrome,1
C1628319,Lattice corneal dystrophy Type II,1
C1636149,"Macular dystrophy, corneal type 1",1
C1641846,Groenouw corneal dystrophy type I (disorder),1
C1644196,Ectopia Lentis with Ectopia of Pupil,1
C1690006,Lattice corneal dystrophy Type I,1
C1704299,"Hypobetalipoproteinemia, Familial, Apolipoprotein B",1
C1704315,Pyelonephritis acute necrotizing,1
C1704317,Leukokeratosis,1
C1704320,"Glomerulonephritis, Minimal Change",1
C1704321,"Nephrotic Syndrome, Minimal Change",1
C1704375,Hypophosphatemic Rickets,1
C1704981,Hyperparathyroidism-Jaw Tumor Syndrome,1
C1708350,Hereditary Leiomyomatosis and Renal Cell Cancer,1
C1719788,Episodic ataxia type 1,1
C1720416,Episodic ataxia type 2 (disorder),1
C1720772,Hypoprebetalipoproteinemia,1
C1720795,Acute Bacterial Prostatitis,1
C1720796,Asymptomatic Inflammatory Prostatitis,1
C1720797,Chronic Bacterial Prostatitis,1
C1720864,"Sulfatidosis, Juvenile, Austin Type",1
C1721017,Paraneoplastic Opsoclonus-Myoclonus Ataxia,1
C1723764,Chronic Prostatitis with Chronic Pelvic Pain Syndrome,1
C1735591,VACTERL Association,1
C1739384,Angel shaped phalangoepiphyseal dysplasia,1
C1785148,RAPP-HODGKIN SYNDROME,1
C1809471,Familial benign hypercalcemia,1
C1824925,"DEAFNESS, AUTOSOMAL RECESSIVE 70",1
C1829703,Carnitine palmitoyl transferase 1A deficiency,1
C1832099,Wilms tumor and radial bilateral aplasia,1
C1832162,"HYPOTRICHOSIS, CONGENITAL, WITH JUVENILE MACULAR DYSTROPHY",1
C1832167,"Ectopia Lentis, Spontaneous Filtering Blebs, and Craniofacial Dysmorphism",1
C1832175,"Cataract, Congenital, Cerulean Type, 2",1
C1832187,"Deafness, Autosomal Dominant 12",1
C1832215,Athabaskan brainstem dysgenesis,1
C1832216,Bosley-Salih-Alorainy Syndrome,1
C1832243,"CARDIOMYOPATHY, DILATED, 1D (disorder)",1
C1832244,"CARDIOMYOPATHY, DILATED, 1C (disorder)",1
C1832274,"Charcot-Marie-Tooth disease, Type 2D",1
C1832334,"CHARCOT-MARIE-TOOTH DISEASE, TYPE 4D",1
C1832370,"MYOPATHY, MYOFIBRILLAR, DESMIN-RELATED",1
C1832378,Retinitis Pigmentosa 18,1
C1832392,"DIABETES MELLITUS, INSULIN-DEPENDENT, 12",1
C1832399,"Charcot-Marie-Tooth disease, Type 4B1",1
C1832425,"Deafness, Autosomal Dominant 9",1
C1832440,"MICROPHTHALMIA, SYNDROMIC 8",1
C1832443,Martinez-Frias Syndrome,1
C1832475,"Deafness, Autosomal Dominant 11",1
C1832476,"Deafness, Autosomal Dominant 10",1
C1832525,Limb-girdle muscular dystrophy type 2F,1
C1832529,HEREDITARY HEMORRHAGIC TELANGIECTASIA-RELATED PULMONARY ARTERIAL HYPERTENSION,1
C1832544,"DIABETES MELLITUS, NONINSULIN-DEPENDENT, 1 (disorder)",1
C1832550,"Lamellar ichthyosis, type 2",1
C1832560,RIPPLING MUSCLE DISEASE 2 (disorder),1
C1832567,"MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1C",1
C1832585,"CEREBELLAR ATAXIA, CAYMAN TYPE",1
C1832594,Verloes Bourguignon syndrome,1
C1832600,Naxos disease,1
C1832612,"Hypocalcemia, Autosomal Dominant, with Bartter Syndrome",1
C1832669,"SPASTIC PARAPLEGIA 9, AUTOSOMAL DOMINANT (disorder)",1
C1832680,"CARDIOMYOPATHY, DILATED, 1E",1
C1832736,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Id",1
C1832812,"Cataracts, Congenital, with Sensorineural Deafness, Down Syndrome-Like Facial Appearance, Short Stature, and Mental Retardation",1
C1832827,"DEAFNESS, CHILDHOOD-ONSET NEUROSENSORY, AUTOSOMAL RECESSIVE 8",1
C1832828,"Deafness, Autosomal Recessive 9",1
C1832855,"CHOREOATHETOSIS/SPASTICITY, EPISODIC",1
C1832884,"Hemiplegic migraine, familial type 1",1
C1832916,Timothy syndrome,1
C1832918,Brody myopathy,1
C1832932,"DEAFNESS, AUTOSOMAL DOMINANT 5 (disorder)",1
C1832942,JUVENILE POLYPOSIS/HEREDITARY HEMORRHAGIC TELANGIECTASIA SYNDROME (disorder),1
C1832950,"Cardiac Malformation, Cleft Lip-Palate, Microcephaly and Digital Anomalies",1
C1832976,Cone-Rod Dystrophy 5,1
C1832978,"Deafness, Autosomal Recessive 7",1
C1832992,"DEAFNESS, AUTOSOMAL RECESSIVE 6",1
C1832998,"EPIPHYSEAL DYSPLASIA, MULTIPLE, 3",1
C1833021,"DEAFNESS, AUTOSOMAL DOMINANT 6",1
C1833053,Proprotein Convertase 1 3 Deficiency,1
C1833102,"DIABETES MELLITUS, PERMANENT NEONATAL, WITH NEUROLOGIC FEATURES",1
C1833136,Marden Walker like syndrome,1
C1833213,"Hyperferritinemia, hereditary, with congenital cataracts",1
C1833219,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2B (disorder)",1
C1833229,"Cataract, Congenital Zonular, with Sutural Opacities",1
C1833236,"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 6 (disorder)",1
C1833245,Retinitis Pigmentosa 17,1
C1833247,SCHIZOPHRENIA 4 (disorder),1
C1833275,"Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-Negative, B Cell-Positive, NK Cell-Negative",1
C1833296,"FRONTOTEMPORAL DEMENTIA, CHROMOSOME 3-LINKED",1
C1833372,"HYPOCALCIURIC HYPERCALCEMIA, FAMILIAL, TYPE III",1
C1833373,"Inclusion Body Myopathy, Autosomal Recessive",1
C1833382,"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE IV (disorder)",1
C1833453,Proximal Myopathy with Focal Depletion of Mitochondria,1
C1833477,"COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 5",1
C1833503,"Deafness, Autosomal Dominant 4",1
C1833508,"CARNITINE PALMITOYLTRANSFERASE II DEFICIENCY, LATE-ONSET",1
C1833511,"CARNITINE PALMITOYLTRANSFERASE II DEFICIENCY, INFANTILE",1
C1833518,"CARNITINE PALMITOYLTRANSFERASE II DEFICIENCY, LETHAL NEONATAL",1
C1833541,Caroli disease isolated,1
C1833683,"NEPHROLITHIASIS, CALCIUM OXALATE",1
C1833693,Otodental Dysplasia,1
C1833699,"Osteopoikilosis, Isolated",1
C1833736,"Osteogenesis imperfecta, Levin type",1
C1833797,"Optic Nerve Hypoplasia, Bilateral",1
C1833809,"OPTIC ATROPHY AND CATARACT, AUTOSOMAL DOMINANT",1
C1834038,Schilbach-Rott Syndrome,1
C1834144,"Sick Sinus Syndrome 2, Autosomal Dominant",1
C1834176,"MYELOKATHEXIS, ISOLATED",1
C1834235,"NEUROFIBROMATOSIS, FAMILIAL SPINAL",1
C1834304,"AMYOTROPHY, HEREDITARY NEURALGIC",1
C1834329,RETINITIS PIGMENTOSA 27,1
C1834339,"Myopathy, Actin, Congenital, with Excess of Thin Myofilaments",1
C1834372,Narcolepsy 1,1
C1834460,"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 10",1
C1834478,MACROTHROMBOCYTOPENIA AND PROGRESSIVE SENSORINEURAL DEAFNESS,1
C1834481,"CARDIOMYOPATHY, DILATED, 1S",1
C1834559,"Continuous Muscle Fiber Activity, Hereditary",1
C1834569,Jankovic Rivera syndrome,1
C1834582,"MYELOPROLIFERATIVE SYNDROME, TRANSIENT",1
C1834690,"Spinal Muscular Atrophy, Childhood, Proximal, Autosomal Dominant",1
C1834692,"NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE IIA",1
C1834703,"Neuropathy, Distal Hereditary Motor, Type VIIA",1
C1834821,METAPHYSEAL DYSPLASIA WITHOUT HYPOTRICHOSIS,1
C1834877,HOLOPROSENCEPHALY 2 (disorder),1
C1834969,Metaphyseal Dysplasia with Maxillary Hypoplasia and Brachydactyly,1
C1835039,"Melanosis, Universal",1
C1835042,Melanoma astrocytoma syndrome,1
C1835044,"MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 2",1
C1835047,"MELANOMA, CUTANEOUS MALIGNANT, 1",1
C1835084,Megaduodenum and-or Megacystis,1
C1835192,"MACROGLOBULINEMIA, WALDENSTROM, SUSCEPTIBILITY TO, 1",1
C1835223,"PSORIATIC ARTHRITIS, SUSCEPTIBILITY TO (finding)",1
C1835265,"Lymphedema, microcephaly and chorioretinopathy syndrome",1
C1835407,"HEPATITIS C VIRUS, SUSCEPTIBILITY TO",1
C1835437,"Platyspondylic Lethal Skeletal Dysplasia, Torrance Type",1
C1835492,"TOOTH AGENESIS, SELECTIVE, 4 (disorder)",1
C1835493,"Succedaneous Teeth, Agenesis Of",1
C1835664,TYLOSIS WITH ESOPHAGEAL CANCER,1
C1835677,Keratoconus 1,1
C1835697,Keratitis Fugax Hereditaria,1
C1835698,"Keratitis, hereditary",1
C1835813,Pseudoxanthoma Elasticum-Like Disorder with Multiple Coagulation Factor Deficiency,1
C1835817,"FANCONI ANEMIA, COMPLEMENTATION GROUP N",1
C1835819,PITUITARY ANOMALIES WITH HOLOPROSENCEPHALY-LIKE FEATURES (disorder),1
C1835820,HOLOPROSENCEPHALY 7,1
C1835826,"Renal Hypodysplasia, Nonsyndromic, 1",1
C1835829,Immunodeficiency due to Defect in MAPBP-Interacting Protein,1
C1835845,Mitochondrial Phosphate Carrier Deficiency,1
C1835849,"Congenital Disorder Of Glycosylation, Type Im",1
C1835851,"Ichthyosis with hypotrichosis, autosomal recessive",1
C1835854,"DEAFNESS, AUTOSOMAL RECESSIVE 68",1
C1835865,Cone-Rod Dystrophy 11,1
C1835887,"DIABETES MELLITUS, TRANSIENT NEONATAL, 2 (disorder)",1
C1835888,"Diarrhea 4, Malabsorptive, Congenital",1
C1835896,"SPASTIC PARAPLEGIA 30, AUTOSOMAL RECESSIVE (disorder)",1
C1835897,Retinal Cone Dystrophy 3B,1
C1835905,"Epilepsy, Nocturnal Frontal Lobe, Type 4",1
C1835912,AICARDI-GOUTIERES SYNDROME 4,1
C1835916,AICARDI-GOUTIERES SYNDROME 3,1
C1835922,Aminoacylase 1 deficiency,1
C1835923,Retinitis Pigmentosa 31,1
C1835928,"CARDIOMYOPATHY, DILATED, 1P",1
C1835931,"ALPHA/BETA T-CELL LYMPHOPENIA WITH GAMMA/DELTA T-CELL EXPANSION, SEVERE CYTOMEGALOVIRUS INFECTION, AND AUTOIMMUNITY",1
C1835933,"Glaucoma 1, Open Angle, G",1
C1835934,Glomerulocystic Kidney Disease with Hyperuricemia and Isosthenuria,1
C1836006,NANOPHTHALMOS 2 (disorder),1
C1836027,"Deafness, Autosomal Recessive 23",1
C1836032,Immunoglobulin a deficiency 2,1
C1836033,"Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome",1
C1836050,"Filaminopathy, autosomal dominant",1
C1836076,"Amyotrophic Lateral Sclerosis, Chmp2B-Related",1
C1836080,"Stickler Syndrome, Type I, Nonsyndromic Ocular",1
C1836081,"RHEGMATOGENOUS RETINAL DETACHMENT, AUTOSOMAL DOMINANT",1
C1836122,"SARCOIDOSIS, EARLY-ONSET",1
C1836123,Goldberg-Shprintzen megacolon syndrome,1
C1836155,"Myopathy, Myofibrillar, Zasp-Related",1
C1836173,Generalized Epilepsy and Paroxysmal Dyskinesia,1
C1836182,"Chondrodysplasia, acromesomelic, with genital anomalies",1
C1836199,"DEAFNESS, AUTOSOMAL RECESSIVE 48",1
C1836206,"Syndactyly, Mesoaxial Synostotic, with Phalangeal Reduction",1
C1836255,Preeclampsia Eclampsia 4,1
C1836284,Epidermolysis Bullosa Simplex with Migratory Circinate Erythema,1
C1836295,"SPASTIC PARAPLEGIA 28, AUTOSOMAL RECESSIVE (disorder)",1
C1836302,Carotid Intimal Medial Thickness 1,1
C1836326,"Teratoid Tumor, Atypical",1
C1836327,RHABDOID TUMOR PREDISPOSITION SYNDROME 1 (disorder),1
C1836330,ERYTHROKERATODERMIA VARIABILIS 3 (disorder),1
C1836336,"CHARCOT-MARIE-TOOTH DISEASE, TYPE 4H",1
C1836383,SPINOCEREBELLAR ATAXIA 27,1
C1836395,SPINOCEREBELLAR ATAXIA 26,1
C1836439,"Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Dominant, 3",1
C1836447,Nemaline myopathy 4,1
C1836448,Nemaline myopathy 1,1
C1836460,"Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Dominant, 2",1
C1836472,Nemaline myopathy 6,1
C1836474,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 7",1
C1836482,Li-Fraumeni Syndrome 2,1
C1836485,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2A2 (disorder)",1
C1836517,Senior-Loken Syndrome 5,1
C1836522,"Schindler Disease, Type II",1
C1836544,"Schindler Disease, Type I",1
C1836545,"Schindler Disease, Type III",1
C1836603,Foveal Hypoplasia and Anterior Segment Dysgenesis,1
C1836632,"SPASTIC PARAPLEGIA 26, AUTOSOMAL RECESSIVE (disorder)",1
C1836669,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE If",1
C1836672,"Total Hypotrichosis, Mari type",1
C1836683,"Czech dysplasia, metatarsal type",1
C1836694,"Striatal Degeneration, Autosomal Dominant",1
C1836705,"Pseudohyperkalemia, Familial, 2, due to Red Cell Leak",1
C1836706,"Hyperthyroidism, Nonautoimmune",1
C1836723,"Tibia, Bowing of, with Pseudarthrosis and Pectus Excavatum",1
C1836724,"CORNEAL DYSTROPHY, POSTERIOR POLYMORPHOUS, 3 (disorder)",1
C1836727,"Peripheral Demyelinating Neuropathy, Central Dysmyelination, Waardenburg Syndrome, and Hirschsprung Disease",1
C1836743,"AUDITORY NEUROPATHY, AUTOSOMAL DOMINANT, 1",1
C1836765,"LIMB-GIRDLE MUSCULAR DYSTROPHY, TYPE 1G (disorder)",1
C1836780,PANCREATIC AND CEREBELLAR AGENESIS,1
C1836797,Combined Oxidative Phosphorylation Deficiency 1,1
C1836823,Nephropathy with Pretibial Epidermolysis Bullosa and Deafness,1
C1836824,Amish Infantile Epilepsy Syndrome,1
C1836860,"FANCONI ANEMIA, COMPLEMENTATION GROUP J",1
C1836861,"FANCONI ANEMIA, COMPLEMENTATION GROUP I",1
C1836876,Pierson syndrome,1
C1836892,"MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 3",1
C1836899,"SPASTIC PARAPLEGIA 27, AUTOSOMAL RECESSIVE (disorder)",1
C1836906,"Arrhythmogenic Right Ventricular Dysplasia, Familial, 9",1
C1836916,POSTERIOR COLUMN ATAXIA WITH RETINITIS PIGMENTOSA,1
C1837007,"DEAFNESS, AUTOSOMAL RECESSIVE 36, WITH OR WITHOUT VESTIBULAR INVOLVEMENT",1
C1837008,PREMATURE OVARIAN FAILURE 3 (disorder),1
C1837014,"Atrial Fibrillation, Familial, 3",1
C1837015,"ATAXIA, SENSORY, AUTOSOMAL DOMINANT",1
C1837026,MEACHAM SYNDROME (disorder),1
C1837065,"CD8 Deficiency, Familial",1
C1837073,Spondylometaphyseal Dysplasia with Cone-Rod Dystrophy,1
C1837148,MYOPIA 6 (disorder),1
C1837149,Alzheimer Disease 9,1
C1837174,"HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS, FAMILIAL, 3",1
C1837187,"MACULAR DEGENERATION, AGE-RELATED, 3",1
C1837203,"WAARDENBURG SYNDROME, TYPE IID",1
C1837206,"Cryohydrocytosis, Stomatin-Deficient, with Mental Retardation, Seizures, Cataracts, and Massive Hepatosplenomegaly",1
C1837213,"OROFACIAL CLEFT 6, SUSCEPTIBILITY TO",1
C1837229,"Muscular Dystrophy, Congenital, Type 1D",1
C1837245,Carney Complex Variant,1
C1837315,"COLORECTAL CANCER, SUSCEPTIBILITY TO, 1",1
C1837317,Alpha-B Crystallinopathy,1
C1837341,"Transposition of the Great Arteries, Dextro-Looped 1",1
C1837342,"MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2J",1
C1837355,"Leukodystrophy, Hypomyelinating, 2",1
C1837371,Sudden Infant Death with Dysgenesis of the Testes Syndrome,1
C1837396,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ie",1
C1837418,MOYAMOYA DISEASE 3,1
C1837429,Pyruvate dehydrogenase phosphatase deficiency,1
C1837461,"SCOLIOSIS, ISOLATED, SUSCEPTIBILITY TO, 3",1
C1837471,"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 8",1
C1837475,Insulin-Like Growth Factor I Deficiency,1
C1837481,"Spondyloepimetaphyseal Dysplasia, Matrilin-3 Related",1
C1837501,"Microcephaly, Primary Autosomal Recessive, 5",1
C1837518,Spinocerebellar ataxia 25,1
C1837530,AICAR Transformylase Inosine Monophosphate Cyclohydrolase Deficiency,1
C1837541,SPINOCEREBELLAR ATAXIA 20,1
C1837552,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2L (disorder)",1
C1837608,"DEAFNESS, AUTOSOMAL RECESSIVE 32",1
C1837610,ICHTHYOSIS PREMATURITY SYNDROME,1
C1837615,"Ciliary Dyskinesia, Primary, 5",1
C1837618,"CILIARY DYSKINESIA, PRIMARY, 3",1
C1837640,"Deafness, Autosomal Dominant 28",1
C1837657,"Spondyloepiphyseal dysplasia, Omani type",1
C1837713,JOUBERT SYNDROME 3,1
C1837728,AMYOTROPHIC LATERAL SCLEROSIS 8 (disorder),1
C1837739,"Hypertension, Diastolic, Resistance to",1
C1837750,Oligodontia-Colorectal Cancer Syndrome,1
C1837756,MANDIBULOACRAL DYSPLASIA WITH TYPE B LIPODYSTROPHY,1
C1837805,"Charcot-Marie-Tooth disease, axonal, Type 2G",1
C1837811,"ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 2",1
C1837839,"CARDIOMYOPATHY, DILATED, 1O",1
C1837845,"SICK SINUS SYNDROME 1, AUTOSOMAL RECESSIVE",1
C1837857,"DEAFNESS, AUTOSOMAL RECESSIVE 35",1
C1837893,SCHIZOPHRENIA 12,1
C1837915,"ERYTHROCYTOSIS, FAMILIAL, 2",1
C1837974,"Corneal Dystrophy, Lattice Type IIIA",1
C1837991,"Colorectal Adenomatous Polyposis, Autosomal Recessive",1
C1838023,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 3",1
C1838049,"Epilepsy, Nocturnal Frontal Lobe, Type 1",1
C1838099,ABCD syndrome,1
C1838100,"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3 (disorder)",1
C1838163,OSLER-RENDU-WEBER SYNDROME 2,1
C1838180,CODAS syndrome,1
C1838192,"SPASTIC PARAPLEGIA 6, AUTOSOMAL DOMINANT (disorder)",1
C1838230,"SPINAL MUSCULAR ATROPHY, TYPE IV",1
C1838239,Band Heterotopia of Brain,1
C1838254,RIPPLING MUSCLE DISEASE 1,1
C1838258,Osteopetrosis and infantile neuroaxonal dystrophy,1
C1838260,"DIABETES MELLITUS, INSULIN-DEPENDENT, 5",1
C1838263,"Deafness, Autosomal Recessive 3",1
C1838280,"Epiphyseal dysplasia, multiple, 1",1
C1838329,APLASIA CUTIS CONGENITA WITH EPIBULBAR DERMOIDS,1
C1838332,"HELICOBACTER PYLORI INFECTION, SUSCEPTIBILITY TO",1
C1838333,"COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 4",1
C1838348,Oculomaxillofacial dysostosis,1
C1838359,"Diffuse palmoplantar keratoderma, Bothnian type",1
C1838429,"Epiphyseal dysplasia, multiple, 2",1
C1838437,"VENOUS MALFORMATIONS, MULTIPLE CUTANEOUS AND MUCOSAL",1
C1838457,"FANCONI ANEMIA, COMPLEMENTATION GROUP D1",1
C1838492,"SPINAL MUSCULAR ATROPHY, DISTAL, CONGENITAL NONPROGRESSIVE (disorder)",1
C1838527,"LONG QT SYNDROME 3, ACQUIRED, SUSCEPTIBILITY TO (finding)",1
C1838547,MELANOMA-PANCREATIC CANCER SYNDROME,1
C1838564,"HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 2",1
C1838570,"CEROID LIPOFUSCINOSIS, NEURONAL, 8",1
C1838571,"Ceroid Lipofuscinosis, Neuronal, 7",1
C1838577,Cerebral Autosomal Recessive Arteriopathy with Subcortical Infarcts and Leukoencephalopathy,1
C1838601,Retinitis Pigmentosa 11,1
C1838603,Retinitis Pigmentosa 14,1
